icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a43c7a,3268.98,4290.06,3575.999999999999,155.12,183.28,169.22409448818894,0.1793000000000049,0.0307999999999992,3592.0,1.3278338546954902,False,False
a43e60,9144.0,9151.62,9146.188723404252,229.77,233.37,230.27968085106377,0.0799999999999983,0.0058999999999969,3254.0,0.9210274989495875,False,True
a43e7f,1684.02,1760.22,1740.3417391304351,102.94,108.69,107.19,0.0061000000000035,0.0010000000000047,604.0,2.222904157961967,False,False
a43e83,10363.2,10972.8,10728.96,244.9,248.03,246.1893333333333,2.6930000000000014,7.273300000000006,2833.0,1.511780035933988,False,False
a43ea6,5257.8,10668.0,9419.492307692308,186.41,188.05,187.6323076923077,2.2179,0.1507000000000005,423.0,1.2924500091019309,False,False
a43ea7,8374.38,8374.38,8374.38,236.29,236.29,236.29,0.0,0.0,127.0,1.5238838990289,False,False
a43ec3,3520.44,11277.6,10127.982631578952,185.56,273.63,259.4294736842105,0.6193999999999988,9.6494,3592.0,2.111298915398602,False,False
a43ec9,3878.58,11277.6,10605.308181818184,176.6,240.44,234.6413636363636,4.120600000000003,8.462299999999999,2884.0,1.8117791722007377,False,True
a43eea,10668.0,11277.6,10741.152,255.8,273.71,271.4568,0.6428000000000011,10.405,2867.0,2.3019459695307787,False,True
a43fa0,4838.7,4838.7,4838.700000000002,196.25,196.92,196.6468253968253,0.0097999999999984,0.0134999999999934,2332.0,1.0728705117862447,False,False
a44031,10668.0,10675.62,10674.74076923077,241.48,243.6,242.92623076923076,0.1373999999999995,0.2674000000000092,3592.0,1.185299981366194,False,False
a4414a,4038.6,4122.42,4097.337499999999,200.44,200.85,200.71749999999997,0.0105000000000003,0.0061999999999926,2122.0,1.2806029233195675,False,False
a44169,5082.54,5471.16,5249.283529411765,178.77,187.91,182.29294117647055,2.282499999999999,38.849,2884.0,9.478712522913018,True,True
a4417d,876.3,876.3,876.3000000000001,108.94,109.45,109.09243902439022,0.0004999999999988,0.0056000000000011,1717.0,2.222028533034414,False,False
a4418c,2545.08,2865.12,2726.920909090909,120.22,131.58,125.70090909090908,0.0052999999999983,0.058400000000006,2884.0,1.7434330080040605,False,True
a441f5,10363.2,10363.2,10363.2,234.53,234.84,234.69909090909096,0.044000000000004,0.1518999999999977,812.0,0.9883020929479074,False,False
a44211,586.74,10363.2,9585.96,123.01,237.9,228.7756,5.643999999999998,4.6297,2867.0,2.419715168280774,False,True
